source,target
76561198577817824,76561199376970139
76561198577817824,76561199527945268
76561198577817824,76561199699568409
76561198797624743,76561198146218939
76561198797624743,76561198146222234
76561198797624743,76561198255290404
76561198797624743,76561198288888236
76561198797624743,76561198397039560
76561198797624743,76561198419261467
76561198797624743,76561198451985015
76561198797624743,76561198797330567
76561198797624743,76561198802052754
76561198797624743,76561198802351715
76561198797624743,76561198806973520
76561198797624743,76561198843952691
76561198797624743,76561198864253062
76561198797624743,76561198867037989
76561198797624743,76561198924827124
76561198797624743,76561198956872435
76561198797624743,76561199045058442
76561198797624743,76561199084783048
76561198797624743,76561199084942836
76561198797624743,76561199128708927
76561198797624743,76561199151996964
76561198797624743,76561199372242120
76561198797624743,76561199488887308
76561198802351715,76561197991546900
76561198802351715,76561198037866691
76561198802351715,76561198058240401
76561198802351715,76561198068442746
76561198802351715,76561198073069405
76561198802351715,76561198074534378
76561198802351715,76561198079829640
76561198802351715,76561198100352660
76561198802351715,76561198111861721
76561198802351715,76561198123125731
76561198802351715,76561198127092810
76561198802351715,76561198136325316
76561198802351715,76561198146218939
76561198802351715,76561198160821692
76561198802351715,76561198167071048
76561198802351715,76561198190825925
76561198802351715,76561198200130127
76561198802351715,76561198202978577
76561198802351715,76561198244907922
76561198802351715,76561198253509674
76561198802351715,76561198254495640
76561198802351715,76561198306617737
76561198802351715,76561198309362034
76561198802351715,76561198318399166
76561198802351715,76561198318417814
76561198802351715,76561198374572408
76561198802351715,76561198386201931
76561198802351715,76561198393038731
76561198802351715,76561198408901878
76561198802351715,76561198412107564
76561198802351715,76561198436910947
76561198802351715,76561198797330567
76561198802351715,76561198806973520
76561198802351715,76561198809131830
76561198802351715,76561198833643879
76561198802351715,76561198848574851
76561198802351715,76561198872495656
76561198802351715,76561198973699607
76561198802351715,76561198978527019
76561198802351715,76561198981835999
76561198802351715,76561199000275079
76561198802351715,76561199041716837
76561198802351715,76561199057303343
76561198802351715,76561199084425371
76561198802351715,76561199084942836
76561198802351715,76561199109781554
76561198802351715,76561199158801346
76561198802351715,76561199170502409
76561198802351715,76561199192497670
76561198802351715,76561199355641574
76561198802351715,76561199379201174
76561198802351715,76561199402853212
76561198802351715,76561199472902713
76561198802351715,76561199854808343
76561198806973520,76561198002525156
76561198806973520,76561198053139899
76561198806973520,76561198068442746
76561198806973520,76561198122094018
76561198806973520,76561198130744182
76561198806973520,76561198139531273
76561198806973520,76561198146218939
76561198806973520,76561198259673268
76561198806973520,76561198313455801
76561198806973520,76561198318417814
76561198806973520,76561198400303946
76561198806973520,76561198797330567
76561198806973520,76561198802827309
76561198806973520,76561198815248896
76561198806973520,76561198861705118
76561198806973520,76561198874218537
76561198806973520,76561198879050616
76561198806973520,76561198978527019
76561198806973520,76561198981835999
76561198806973520,76561198987701252
76561198806973520,76561199017044560
76561198806973520,76561199026554171
76561198806973520,76561199084942836
76561198806973520,76561199109781554
76561198806973520,76561199162233884
76561198806973520,76561199195549080
76561198806973520,76561199247195577
76561198806973520,76561199368653710
76561198806973520,76561199468585649
76561198806973520,76561199472902713
76561198806973520,76561199541432827
76561198806973520,76561199563386885
76561198806973520,76561199785213947
76561198806973520,76561199865491451
76561198965260815,76561198184465311
76561198965260815,76561198285631327
76561198965260815,76561198301077509
76561198965260815,76561198343505876
76561198965260815,76561198366005199
76561198965260815,76561198397245473
76561198965260815,76561198448233860
